Transaction_ID,Date,Customer_ID,Customer_Name,County,Eircode,Product_ID,Product_Category,Unit_Price_EUR,Quantity,VAT_Rate,Total_Amount_EUR,Payment_Method
IE-TXN-000001,29/01/2024,CUST-0502,Kayleigh Donovan-Tynan,Louth,E20 19ND,PROD-0017,Electronics,195.66,8,23%,1925.29,Google Pay
IE-TXN-000002,11/05/2025,CUST-0951,Eve McIntyre,Carlow,T08XH7R,PROD-0081,Health & Beauty,246.95,4,23%,1214.99,Revolut
IE-TXN-000003,12/12/2025,CUST-0648,Aodhan Bruen,Wicklow,H39 AWVN,PROD-0061,Health & Beauty,112.69,10,23%,1386.09,Google Pay
IE-TXN-000004,01/02/2025,CUST-0943,Glen Victory,Clare,H12 32DA,PROD-0070,Beverages,448.15,4,23%,2204.9,Revolut
IE-TXN-000005,07/09/2023,CUST-0806,Deirbhile Barrnette,Armagh,C98 KF16,PROD-0013,Beverages,202.12,8,23%,1988.86,Mastercard
IE-TXN-000006,20/07/2024,CUST-0265,Ellie Grennan-McFarland,Mayo,P37 59RK,PROD-0004,Home Decor,222.38,9,23%,2461.75,Mastercard
IE-TXN-000007,15/01/2024,CUST-0725,Ms. Terri Staunton,Limerick,T17 5A3D,PROD-0094,Groceries,143.47,7,23%,1235.28,Apple Pay
IE-TXN-000008,12/12/2025,CUST-0841,Mrs. Regan Gavigan,Kildare,E16E5PV,PROD-0018,Beverages,194.3,1,23%,238.99,Apple Pay
IE-TXN-000009,15/04/2024,CUST-0813,Rhys Canning,Monaghan,E43 AV3X,PROD-0047,Groceries,29.43,8,23%,289.59,Mastercard
IE-TXN-000010,22/03/2025,CUST-0665,Dr. Nina Sweeney,Meath,T37 3DY4,PROD-0037,Clothing,91.4,9,23%,1011.8,Apple Pay
IE-TXN-000011,19/08/2025,CUST-0513,Dr. Cal Adams,Sligo,P43 DD3D,PROD-0084,Electronics,232.51,8,23%,2287.9,Revolut
IE-TXN-000012,26/05/2024,CUST-0024,Caomhan Deasy,Monaghan,D93 4336,PROD-0093,Clothing,144.16,10,23%,1773.17,Apple Pay
IE-TXN-000013,09/09/2023,CUST-0416,Jake Gartlan,Londonderry,P71 30RR,PROD-0059,Home Decor,494.09,10,23%,6077.31,Revolut
IE-TXN-000014,01/09/2024,CUST-0763,Stephen Hannon-MacCarville,Sligo,X47FP6W,PROD-0013,Beverages,202.12,4,23%,994.43,Google Pay
IE-TXN-000015,08/01/2024,CUST-0389,Alice Brett,Antrim,R27 TDP1,PROD-0014,Beverages,29.39,10,23%,361.5,Google Pay
IE-TXN-000016,22/06/2025,CUST-0863,Theresa Hutchison,Offaly,W44 K1XC,PROD-0097,Groceries,346.24,4,23%,1703.5,Mastercard
IE-TXN-000017,14/12/2025,CUST-0733,Jena Meaney,Wicklow,E13DNRX,PROD-0032,Electronics,9.19,4,23%,45.21,Mastercard
IE-TXN-000018,30/09/2023,CUST-0845,Dr. Deane Tracy,Galway,W53 40F8,PROD-0038,Health & Beauty,472.98,10,23%,5817.65,Revolut
IE-TXN-000019,28/08/2024,CUST-0351,Arran McNamara,Offaly,F48V0C4,PROD-0074,Electronics,293.57,5,23%,1805.46,Revolut
IE-TXN-000020,15/04/2024,CUST-0972,Darragh Leech,Longford,Y94 XH1T,PROD-0005,Beverages,306.1,1,23%,376.5,Revolut
IE-TXN-000021,27/11/2025,CUST-0729,Thomas Dean,Cork,R78HA2K,PROD-0022,Home Decor,490.8,6,23%,3622.1,Revolut
IE-TXN-000022,05/07/2023,CUST-0385,Rachelle Dease,Antrim,E15 K6AP,PROD-0056,Home Decor,154.53,4,23%,760.29,Revolut
IE-TXN-000023,03/02/2025,CUST-0495,Mr. Jamie O'Curry,Donegal,K1574F0,PROD-0005,Beverages,306.1,5,23%,1882.51,Google Pay
IE-TXN-000024,22/11/2023,CUST-0568,Keeva Anderson,Meath,R83ER0H,PROD-0066,Home Decor,25.63,9,23%,283.72,Revolut
IE-TXN-000025,14/04/2024,CUST-0418,Henry McIneely,Sligo,F90 4CPX,PROD-0062,Groceries,326.68,10,23%,4018.16,Apple Pay
IE-TXN-000026,13/07/2025,CUST-0119,Kurt Purcell,Louth,E17 03C6,PROD-0065,Home Decor,225.67,2,23%,555.15,Visa
IE-TXN-000027,01/12/2023,CUST-0761,Mr. Sam Tully,Fermanagh,C58XK04,PROD-0019,Beverages,354.21,6,23%,2614.07,Google Pay
IE-TXN-000028,01/05/2025,CUST-0844,Dr. Roy McKeon,Tyrone,A04RF9W,PROD-0029,Groceries,102.61,4,23%,504.84,Mastercard
IE-TXN-000029,21/09/2025,CUST-0547,Jason Branaola-Guerin,Londonderry,R88 PDEW,PROD-0013,Beverages,202.12,6,23%,1491.65,Revolut
IE-TXN-000030,06/04/2025,CUST-0478,Jacqueline McAleavy,Meath,R2367YT,PROD-0089,Clothing,250.9,5,23%,1543.04,Revolut
IE-TXN-000031,28/12/2024,CUST-0743,Padraic MacGing,Cavan,W63F8YN,PROD-0087,Home Decor,468.0,8,23%,4605.12,Visa
IE-TXN-000032,09/07/2023,CUST-0888,Wayne Rynne,Westmeath,Y1860C8,PROD-0024,Health & Beauty,95.77,8,23%,942.38,Visa
IE-TXN-000033,03/05/2023,CUST-0671,Kirsty MacArt,Galway,T21YCTX,PROD-0085,Health & Beauty,339.68,10,23%,4178.06,Mastercard
IE-TXN-000034,24/08/2023,CUST-0037,Padraigin Flaherty-McColgan,Cork,H63 AVHF,PROD-0057,Health & Beauty,465.2,6,23%,3433.18,Revolut
IE-TXN-000035,03/05/2023,CUST-0416,Jake Gartlan,Londonderry,P71 30RR,PROD-0030,Clothing,385.92,10,23%,4746.82,Google Pay
IE-TXN-000036,21/10/2025,CUST-0738,Conor Howley,Laois,T05 7CPK,PROD-0029,Groceries,102.61,1,23%,126.21,Apple Pay
IE-TXN-000037,12/10/2025,CUST-0475,Kealan Crangle,Londonderry,H89DAHE,PROD-0079,Home Decor,44.93,7,23%,386.85,Apple Pay
IE-TXN-000038,14/02/2023,CUST-0058,Hayden Hannah,Cork,K55 PE6F,PROD-0001,Electronics,240.48,5,23%,1478.95,Apple Pay
IE-TXN-000039,22/10/2023,CUST-0611,Mr. Ben Raleigh,Monaghan,A930714,PROD-0089,Clothing,250.9,10,23%,3086.07,Revolut
IE-TXN-000040,24/01/2025,CUST-0362,Dr. Jon Sheahan,Londonderry,A6340T3,PROD-0032,Electronics,9.19,4,23%,45.21,Visa
IE-TXN-000041,16/09/2023,CUST-0012,Michael Kerney,Limerick,C17WNDD,PROD-0031,Groceries,31.19,1,23%,38.36,Google Pay
IE-TXN-000042,16/04/2024,CUST-0207,Dr. Leigh Felban,Waterford,P67 77D2,PROD-0021,Beverages,68.55,10,23%,843.16,Mastercard
IE-TXN-000043,12/03/2023,CUST-0773,Caolain Nevin,Donegal,A563986,PROD-0098,Clothing,75.39,2,23%,185.46,Revolut
IE-TXN-000044,22/05/2025,CUST-0430,Kirby Farnon-Hastings,Fermanagh,X24 KA6F,PROD-0080,Groceries,134.08,6,23%,989.51,Revolut
IE-TXN-000045,12/04/2024,CUST-0920,Dale Goodwin,Sligo,H778E64,PROD-0092,Groceries,294.39,1,23%,362.1,Apple Pay
IE-TXN-000046,27/04/2024,CUST-0334,Graham Garde,Offaly,K00 94W8,PROD-0030,Clothing,385.92,6,23%,2848.09,Mastercard
IE-TXN-000047,25/11/2024,CUST-0643,Mr. Roy Guinnane,Kildare,R19 2P7C,PROD-0068,Electronics,253.1,1,23%,311.31,Google Pay
IE-TXN-000048,02/07/2025,CUST-0689,Mr. Jesse Farren,Fermanagh,P76KAVV,PROD-0032,Electronics,9.19,9,23%,101.73,Revolut
IE-TXN-000049,05/03/2024,CUST-0439,Dr. Martha Sharry,Laois,P36 HW2W,PROD-0040,Home Decor,260.71,7,23%,2244.71,Mastercard
IE-TXN-000050,13/07/2023,CUST-0476,Eilis Considine,Louth,T05Y407,PROD-0088,Beverages,344.15,10,23%,4233.05,Google Pay
IE-TXN-000051,16/05/2023,CUST-0203,Shaun Roach,Monaghan,Y26V87R,PROD-0005,Beverages,306.1,9,23%,3388.53,Visa
IE-TXN-000052,13/06/2023,CUST-0074,Charlotte Phayre,Cork,P0590AK,PROD-0035,Clothing,84.97,5,23%,522.57,Google Pay
IE-TXN-000053,27/10/2024,CUST-0671,Kirsty MacArt,Galway,T21YCTX,PROD-0006,Groceries,338.03,1,23%,415.78,Revolut
IE-TXN-000054,16/03/2023,CUST-0475,Kealan Crangle,Londonderry,H89DAHE,PROD-0080,Groceries,134.08,6,23%,989.51,Google Pay
IE-TXN-000055,31/07/2023,CUST-0246,Tyler Meaney,Leitrim,W89 YEN9,PROD-0057,Health & Beauty,465.2,6,23%,3433.18,Visa
IE-TXN-000056,16/11/2025,CUST-0177,Reuben MacFadden-Lambe,Longford,T89 RKXY,PROD-0009,Health & Beauty,68.26,5,23%,419.8,Mastercard
IE-TXN-000057,10/12/2023,CUST-0981,Ms. Nicola Fennell,Offaly,V35DWAD,PROD-0035,Clothing,84.97,7,23%,731.59,Revolut
IE-TXN-000058,22/08/2025,CUST-0829,Aoife Miller,Fermanagh,H78 TCTT,PROD-0048,Home Decor,90.34,9,23%,1000.06,Google Pay
IE-TXN-000059,18/12/2023,CUST-0457,Leonie Corry,Kildare,F95 C826,PROD-0083,Home Decor,486.81,7,23%,4191.43,Visa
IE-TXN-000060,23/02/2025,CUST-0916,Ashley Rattigan,Galway,T66EW04,PROD-0045,Health & Beauty,201.53,3,23%,743.65,Revolut
IE-TXN-000061,16/01/2023,CUST-0576,Nicola Hoskins,Offaly,A31NWC0,PROD-0043,Health & Beauty,180.66,7,23%,1555.48,Google Pay
IE-TXN-000062,12/09/2025,CUST-0723,Pauric Baxter,Offaly,Y47 542E,PROD-0054,Clothing,321.83,2,23%,791.7,Google Pay
IE-TXN-000063,24/07/2025,CUST-0083,Keri O'Casey,Offaly,E41 6Y8Y,PROD-0051,Groceries,464.13,8,23%,4567.04,Apple Pay
IE-TXN-000064,04/03/2025,CUST-0940,David Henebry,Louth,V23 KYT3,PROD-0081,Health & Beauty,246.95,9,23%,2733.74,Revolut
IE-TXN-000065,26/02/2023,CUST-0127,Roisin Filbin,Armagh,T24 H1TC,PROD-0035,Clothing,84.97,2,23%,209.03,Revolut
IE-TXN-000066,02/11/2023,CUST-0690,Colin Macken,Londonderry,F40 R5RH,PROD-0074,Electronics,293.57,6,23%,2166.55,Apple Pay
IE-TXN-000067,12/07/2023,CUST-0404,Rohan MacFaull,Meath,K09PC16,PROD-0035,Clothing,84.97,1,23%,104.51,Visa
IE-TXN-000068,30/06/2023,CUST-0038,Ashleigh Woolley,Antrim,D93 N5K9,PROD-0020,Groceries,382.5,6,23%,2822.85,Visa
IE-TXN-000069,30/05/2023,CUST-0057,Rowan MacFaull,Roscommon,R66 9D34,PROD-0088,Beverages,344.15,7,23%,2963.13,Google Pay
IE-TXN-000070,24/10/2024,CUST-0595,Suzanne Boland,Limerick,C32V7T5,PROD-0056,Home Decor,154.53,2,23%,380.14,Google Pay
IE-TXN-000071,20/01/2023,CUST-0206,Oisin Denis,Cavan,K39 RCER,PROD-0090,Clothing,292.4,4,23%,1438.61,Revolut
IE-TXN-000072,16/04/2025,CUST-0724,Jacqueline O'Mahoney,Cavan,X44RVEC,PROD-0007,Home Decor,176.15,8,23%,1733.32,Google Pay
IE-TXN-000073,26/05/2024,CUST-0013,Ms. Jody O'Loughlinn,Louth,F32 N9FT,PROD-0082,Home Decor,330.88,3,23%,1220.95,Visa
IE-TXN-000074,12/11/2025,CUST-0868,Mrs. Hollie McKie,Monaghan,N84 989V,PROD-0029,Groceries,102.61,5,23%,631.05,Visa
